nom_commune,code_insee_commune,code_siren_epci,nom_document,nature_document,id_gpu,date_approbation,niveau_couverture,lien_reglement,date_traitement,statut
Dieffenbach-lès-Wœrth,67093,200013050,Plan Local d'Urbanisme (PLU) de la commune de DIEFFENBACH-LES-WOERTH,PLU,ec624f62847bd6a78218e46c026efad8,11/12/2024 18:05:30,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/ec624f62847bd6a78218e46c026efad8/files/67093_reglement_20241113.pdf,2026-08-12,document trouvé
Dieffenthal,67094,246700967,,,,,,,2026-08-12,trou de couverture
Diemeringen,67095,200067841,Plan Local d'Urbanisme (PLU) de la commune de DIEMERINGEN,PLU,042bb10d8d0fff992a5bfa427b7ad295,30/01/2023 16:18:19,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/042bb10d8d0fff992a5bfa427b7ad295/files/67095_reglement_20180528.pdf,2026-08-12,document trouvé
Dimbsthal,67096,200068112,,,,,,,2026-08-12,RNU confirmé
Dingsheim,67097,200034635,Plan Local d'Urbanisme intercommunal (PLUi) DU KOCHERSBERG ET DE L'ACKERLAND,PLUi,274e0297eee8a3b4d7650c9c8d2c950f,03/02/2026 14:11:50,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/274e0297eee8a3b4d7650c9c8d2c950f/files/200034635_reglement_20251211.pdf,2026-08-12,document trouvé
Dinsheim-sur-Bruche,67098,246701064,Plan Local d'Urbanisme (PLU) de la commune de DINSHEIM-SUR-BRUCHE,PLU,d71b3839404100b88dafa21060814bcd,07/02/2024 10:05:06,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/d71b3839404100b88dafa21060814bcd/files/67098_reglement_20240122.pdf,2026-08-12,document trouvé
Domfessel,67099,200067841,,,,,,,2026-08-12,RNU confirmé
Donnenheim,67100,200067874,Plan Local d'Urbanisme intercommunal (PLUi) DE HAGUENAU,PLUi,171518c6d5441a4ad41c30cf32dbe4ca,05/05/2026 12:19:47,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/171518c6d5441a4ad41c30cf32dbe4ca/files/200067874_reglement_20260427.pdf,2026-08-12,document trouvé
Dorlisheim,67101,246701064,Plan Local d'Urbanisme (PLU) de la commune de DORLISHEIM,PLU,71be1d2fe04f069bd2638676c5c499ec,17/07/2026 15:06:34,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/71be1d2fe04f069bd2638676c5c499ec/files/67101_reglement_20260706.pdf,2026-08-12,document trouvé
Dossenheim-Kochersberg,67102,200034635,Plan Local d'Urbanisme intercommunal (PLUi) DU KOCHERSBERG ET DE L'ACKERLAND,PLUi,274e0297eee8a3b4d7650c9c8d2c950f,03/02/2026 14:11:50,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/274e0297eee8a3b4d7650c9c8d2c950f/files/200034635_reglement_20251211.pdf,2026-08-12,document trouvé
Dossenheim-sur-Zinsel,67103,200067783,Plan Local d'Urbanisme intercommunal (PLUi) DE HANAU-LA PETITE PIERRE partie A,PLUi,ed7dc9c81a38e442eb1ff778ba9be0a2,06/02/2026 15:28:13,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/ed7dc9c81a38e442eb1ff778ba9be0a2/files/200067783_reglement_20260202_A.pdf,2026-08-12,document trouvé
Drachenbronn-Birlenbach,67104,246700926,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE WISSEMBOURG,PLUi,c2e8753ac76f6b65769ace248d30f1ca,11/06/2026 10:23:33,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/c2e8753ac76f6b65769ace248d30f1ca/files/246700926_reglement_20260601.pdf,2026-08-12,document trouvé
Drulingen,67105,200067841,Plan Local d’Urbanisme (PLU) de la commune de DRULINGEN,PLU,b85c3157a3dc7eb3893231f3ba3aba47,16/12/2021 15:47:05,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/b85c3157a3dc7eb3893231f3ba3aba47/files/67105_reglement_20211129.pdf,2026-08-12,document trouvé
Drusenheim,67106,200041325,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS RHENAN,PLUi,b5ae1da72ed7f5ecf4aa179df33e1076,13/10/2025 09:14:53,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/b5ae1da72ed7f5ecf4aa179df33e1076/files/200041325_reglement_20250929.pdf,2026-08-12,document trouvé
Duntzenheim,67107,246700959,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE LA ZORN,PLUi,5d8ce7c57a62b3545d243546281d2546,03/08/2026 08:28:16,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/5d8ce7c57a62b3545d243546281d2546/files/246700959_reglement_20260716.pdf,2026-08-12,document trouvé
Duppigheim,67108,246701064,Plan Local d'Urbanisme (PLU) de la commune de DUPPIGHEIM,PLU,1413f9ce036f2b048fe492e3f46becd4,22/09/2025 17:18:05,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/1413f9ce036f2b048fe492e3f46becd4/files/67108_reglement_20250624.pdf,2026-08-12,document trouvé
Durningen,67109,200034635,Plan Local d'Urbanisme intercommunal (PLUi) DU KOCHERSBERG ET DE L'ACKERLAND,PLUi,274e0297eee8a3b4d7650c9c8d2c950f,03/02/2026 14:11:50,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/274e0297eee8a3b4d7650c9c8d2c950f/files/200034635_reglement_20251211.pdf,2026-08-12,document trouvé
Durrenbach,67110,200013050,Plan Local d'Urbanisme (PLU) de la commune de DURRENBACH,PLU,a914aaf88eb6760a8930bfce72a0b0c7,16/07/2024 08:45:10,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/a914aaf88eb6760a8930bfce72a0b0c7/files/67110_reglement_20240516.pdf,2026-08-12,document trouvé
Durstel,67111,200067841,Carte Communale (CC) de la commune de DURSTEL,CC,2c702c9d50e1908f0e1aa3714d674b63,09/11/2020 12:12:31,commune,,2026-08-12,document trouvé
Duttlenheim,67112,246701064,Plan Local d'Urbanisme (PLU) de la commune de DUTTLENHEIM,PLU,4d645e5c1f646b15acfb7bfa668fb181,10/07/2025 11:09:15,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/4d645e5c1f646b15acfb7bfa668fb181/files/67112_reglement_20250618.pdf,2026-08-12,document trouvé
Eberbach-Seltz,67113,200041283,Plan Local d'Urbanisme (PLU) de la commune de EBERBACH-SELTZ,PLU,c36b24e8099cdd81f6a3f59d4c7a05ae,11/12/2025 16:30:57,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/c36b24e8099cdd81f6a3f59d4c7a05ae/files/67113_reglement_20251124.pdf,2026-08-12,document trouvé
